League,Y,Franchise,Team,G,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,avgFGM,avgFGA,avgFG%,avg3FGM,avg3FGA,avg3FG%,avgFTM,avgFTA,avgFT%,avgOFF,avgDEF,avgREB,avgAST,avgSTL,avgBLK,avgTO,avgPF,avgPTS,Column1,impliedFGM,impliedFGA,impliedFG%,implied3FGM,implied3FGA,implied3FG%,impliedFTM,impliedFTA,impliedFT%,impliedREB,impliedAST,impliedSTL,impliedBLK,impliedTO,impliedPF,impliedPTS
NBA,1990,San Antonio Spurs,SAS,82,3409,6988,0.49,81,297,0.27,1883,2459,0.77,1131,2657,3788,2140,670,571,1445,1896,8782,41.6,85.2,0.49,1,3.6,0.27,23.0,30.0,0.77,13.8,32.4,46.2,26.1,8.2,7,17.6,23.1,107.1,1262,3207,6559,0.488946485744778,66,266,0.24812030075188,1774,2309,0.768297964486791,3604,1918,611,549,1308,1754,8254
NBA,1990,Utah Jazz,UTA,82,3214,6537,0.49,148,458,0.32,1951,2472,0.79,867,2474,3341,2217,652,451,1305,1796,8527,39.2,79.7,0.49,1.8,5.6,0.32,23.8,30.1,0.79,10.6,30.2,40.7,27.0,8,5.5,15.9,21.9,104.0,1420,2874,5855,0.490862510674637,146,447,0.32662192393736,1707,2126,0.802916274694262,2262,2099,578,236,1065,1262,7601
NBA,1990,Washington Wizards,WAS,82,3390,7268,0.47,55,284,0.19,1478,2028,0.73,1173,2390,3563,2081,588,468,1359,1927,8313,41.3,88.6,0.47,0.7,3.5,0.19,18.0,24.7,0.73,14.3,29.1,43.5,25.4,7.2,5.7,16.6,23.5,101.4,1477,3283,7049,0.465739821251241,55,283,0.19434628975265,1439,1960,0.734183673469388,3172,2005,529,344,1267,1699,8060
NBA,1991,Atlanta Hawks,ATL,82,3492,7476,0.47,210,671,0.31,1517,2074,0.73,1288,2498,3786,2123,793,320,1255,1771,8711,42.6,91.2,0.47,2.6,8.2,0.31,18.5,25.3,0.73,15.7,30.5,46.2,25.9,9.7,3.9,15.3,21.6,106.2,16,3397,7265,0.467584308327598,196,633,0.309636650868878,1487,2033,0.731431382193802,3682,1947,744,314,1165,1680,8477
NBA,1991,Boston Celtics,BOS,82,3543,7196,0.49,110,359,0.31,1549,1917,0.81,1095,2583,3678,2072,636,484,1165,1686,8745,43.2,87.8,0.49,1.3,4.4,0.31,18.9,23.4,0.81,13.4,31.5,44.9,25.3,7.8,5.9,14.2,20.6,106.6,96,2881,5886,0.489466530750934,109,343,0.317784256559767,1250,1521,0.821827744904668,2799,1754,534,350,899,1381,7121
NBA,1991,Brooklyn Nets,NJN,82,3473,7580,0.46,224,670,0.33,1471,2009,0.73,1512,2392,3904,1937,736,615,1392,1834,8641,42.4,92.4,0.46,2.7,8.2,0.33,17.9,24.5,0.73,18.4,29.2,47.6,23.6,9,7.5,17,22.4,105.4,899,3246,7023,0.462195642887655,224,670,0.334328358208955,1375,1819,0.755909840571743,3102,1871,694,432,1255,1535,8091
NBA,1991,Charlotte Hornets,CHA,82,3613,7568,0.48,117,369,0.32,1637,2168,0.76,1164,2367,3531,2284,822,309,1273,1819,8980,44.1,92.3,0.48,1.4,4.5,0.32,20.0,26.4,0.76,14.2,28.9,43.1,27.9,10,3.8,15.5,22.2,109.5,142,3457,7192,0.48067296996663,108,337,0.320474777448071,1567,2062,0.759941804073715,3424,2115,773,298,1144,1736,8589
NBA,1991,Chicago Bulls,CHI,82,3643,7168,0.51,138,454,0.3,1587,2132,0.74,1173,2439,3612,2279,672,480,1088,1693,9011,44.4,87.4,0.51,1.7,5.5,0.3,19.4,26.0,0.74,14.3,29.7,44.0,27.8,8.2,5.9,13.3,20.6,109.9,189,3347,6519,0.513422304034361,130,425,0.305882352941176,1477,1943,0.760164693772517,3204,2112,623,463,936,1420,8301
NBA,1991,Cleveland Cavaliers,CLE,82,3427,7025,0.49,253,708,0.36,1819,2259,0.81,1041,2450,3491,2260,616,621,1073,1556,8926,41.8,85.7,0.49,3.1,8.6,0.36,22.2,27.5,0.81,12.7,29.9,42.6,27.6,7.5,7.6,13.1,19.0,108.9,242,3259,6655,0.489706987227648,252,703,0.35846372688478,1740,2151,0.808926080892608,3229,2172,571,603,982,1350,8510
NBA,1991,Dallas Mavericks,DAL,82,3120,7104,0.44,268,797,0.34,1499,1999,0.75,1194,2439,3633,1630,536,349,1202,1867,8007,38.0,86.6,0.44,3.3,9.7,0.34,18.3,24.4,0.75,14.6,29.7,44.3,19.9,6.5,4.3,14.7,22.8,97.6,285,2830,6479,0.436795801821269,265,781,0.339308578745198,1330,1751,0.759565962307253,3055,1536,486,280,1032,1632,7255
