predictedWin_DT,predictedWin_RF,Team,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,avgFGM,avgFGA,avgFG%,avg3FGM,avg3FGA,avg3FG%,avgFTM,avgFTA,avgFT%,avgOFF,avgDEF,avgREB,avgAST,avgSTL,avgBLK,avgTO,avgPF,avgPTS,Column1,impliedFGM,impliedFGA,impliedFG%,implied3FGM,implied3FGA,implied3FG%,impliedFTM,impliedFTA,impliedFT%,impliedREB,impliedAST,impliedSTL,impliedBLK,impliedTO,impliedPF,impliedPTS,Team_1,G_1,FGM_1,FGA_1,FG%_1,3FGM_1,3FGA_1,3FG%_1,FTM_1,FTA_1,FT%_1,OFF_1,DEF_1,REB_1,AST_1,STL_1,BLK_1,TO_1,PF_1,PTS_1,avgFGM_1,avgFGA_1,avgFG%_1,avg3FGM_1,avg3FGA_1,avg3FG%_1,avgFTM_1,avgFTA_1,avgFT%_1,avgOFF_1,avgDEF_1,avgREB_1,avgAST_1,avgSTL_1,avgBLK_1,avgTO_1,avgPF_1,avgPTS_1,Column1_1,impliedFGM_1,impliedFGA_1,impliedFG%_1,implied3FGM_1,implied3FGA_1,implied3FG%_1,impliedFTM_1,impliedFTA_1,impliedFT%_1,impliedREB_1,impliedAST_1,impliedSTL_1,impliedBLK_1,impliedTO_1,impliedPF_1,impliedPTS_1
MIA,MIL,SAS,2995,6350,0.47,760,2021,0.38,1348,1664,0.81,640,2530,3170,1751,518,390,895,1377,8098,42.2,89.4,0.47,10.7,28.5,0.38,19.0,23.4,0.81,9.0,35.6,44.6,24.7,7.3,5.5,12.6,19.4,114.1,1291,2819,6051,0.465873409353826,757,2008,0.37699203187251,1296,1558,0.83183568677792,2760,1624,479,293,804,1231,7691,MEM,74,3151,6726,0.47,812,2322,0.35,1230,1611,0.76,766,2680,3446,1995,581,404,1131,1571,8344,42.6,90.9,0.47,11.0,31.4,0.35,16.6,21.8,0.76,10.4,36.2,46.6,27.0,7.9,5.5,15.3,21.2,112.8,687,2770,5784,0.478907330567082,633,1779,0.355817875210793,1067,1399,0.762687634024303,2797,1709,465,347,936,1313,7240
MIN,DET,DET,2595,5658,0.46,791,2157,0.37,1097,1476,0.74,644,2109,2753,1589,490,299,1008,1299,7078,39.3,85.7,0.46,12.0,32.7,0.37,16.6,22.4,0.74,9.8,32.0,41.7,24.1,7.4,4.5,15.3,19.7,107.2,413,1898,4190,0.452983293556086,650,1764,0.368480725623583,819,1047,0.782234957020057,1660,1239,341,193,646,928,5265,MIN,64,2586,5865,0.44,853,2540,0.34,1223,1624,0.75,675,2193,2868,1525,555,362,981,1370,7248,40.4,91.6,0.44,13.3,39.7,0.34,19.1,25.4,0.75,10.5,34.3,44.8,23.8,8.7,5.7,15.3,21.4,113.3,816,1074,2423,0.443252166735452,334,1019,0.327772325809617,519,706,0.735127478753541,1197,579,238,152,378,604,3001
DEN,NOP,SAC,2943,6364,0.46,914,2511,0.36,1127,1464,0.77,695,2372,3067,1713,556,293,1043,1595,7927,40.9,88.4,0.46,12.7,34.9,0.36,15.7,20.3,0.77,9.7,32.9,42.6,23.8,7.7,4.1,14.5,22.2,110.1,1249,2429,5335,0.455295220243674,823,2212,0.372061482820977,900,1167,0.77120822622108,2124,1547,422,174,797,1128,6581,DEN,73,3069,6488,0.47,801,2234,0.36,1185,1526,0.78,786,2436,3222,1952,586,337,1005,1485,8124,42.0,88.9,0.47,11.0,30.6,0.36,16.2,20.9,0.78,10.8,33.4,44.1,26.7,8.0,4.6,13.8,20.3,111.3,360,2878,6000,0.479666666666667,716,1979,0.361798888327438,1121,1443,0.776853776853777,3002,1871,538,320,883,1379,7593
UTA,SAS,UTA,2886,6130,0.47,963,2537,0.38,1278,1641,0.78,656,2577,3233,1615,438,292,1089,1468,8013,40.1,85.1,0.47,13.4,35.2,0.38,17.8,22.8,0.78,9.1,35.8,44.9,22.4,6.1,4.1,15.1,20.4,111.3,1449,2143,4765,0.449737670514166,834,2172,0.383977900552486,904,1080,0.837037037037037,1998,1408,334,128,805,1060,6024,POR,75,3160,6833,0.46,967,2565,0.38,1347,1673,0.81,763,2629,3392,1545,477,458,959,1625,8634,42.1,91.1,0.46,12.9,34.2,0.38,18.0,22.3,0.81,10.2,35.1,45.2,20.6,6.4,6.1,12.8,21.7,115.1,1202,2843,6063,0.468909780636649,827,2166,0.381809787626962,1180,1459,0.808773132282385,2822,1359,367,392,766,1290,7693
OCT,LAL,DAL,3124,6772,0.46,1136,3095,0.37,1392,1787,0.78,791,2729,3520,1849,460,363,953,1462,8776,41.7,90.3,0.46,15.1,41.3,0.37,18.6,23.8,0.78,10.5,36.4,46.9,24.7,6.1,4.8,12.7,19.5,117.0,313,3054,6632,0.460494571773221,1120,3054,0.366732154551408,1373,1762,0.779228149829739,3413,1805,445,348,886,1412,8601,PHO,73,3006,6429,0.47,831,2320,0.36,1451,1740,0.83,712,2465,3177,1987,559,290,1077,1609,8294,41.2,88.1,0.47,11.4,31.8,0.36,19.9,23.8,0.83,9.8,33.8,43.5,27.2,7.7,4.0,14.8,22.0,113.6,1158,2938,6246,0.470381043868076,807,2232,0.361559139784946,1425,1706,0.835287221570926,3117,1937,545,280,1013,1560,8108
MIA,ORL,NOP,3065,6598,0.46,982,2656,0.37,1229,1687,0.73,797,2551,3348,1932,539,358,1181,1524,8341,42.6,91.6,0.46,13.6,36.9,0.37,17.1,23.4,0.73,11.1,35.4,46.5,26.8,7.5,5.0,16.4,21.2,115.8,940,3058,6587,0.464247760740853,982,2655,0.369868173258004,1229,1687,0.728512151748666,3337,1927,538,357,1134,1513,8327,MIA,73,2880,6160,0.47,979,2584,0.38,1440,1840,0.78,620,2619,3239,1892,547,332,1088,1501,8179,39.5,84.4,0.47,13.4,35.4,0.38,19.7,25.2,0.78,8.5,35.9,44.4,25.9,7.5,4.5,14.9,20.6,112.0,721,2728,5796,0.470669427191166,884,2341,0.377616403246476,1396,1779,0.784710511523328,3040,1815,499,302,970,1384,7736
MIL,MIN,GSW,2510,5730,0.44,678,2032,0.33,1214,1511,0.8,647,2138,2785,1663,534,299,969,1304,6912,38.6,88.2,0.44,10.4,31.3,0.33,18.7,23.2,0.8,10.0,32.9,42.8,25.6,8.2,4.6,14.9,20.1,106.3,463,1440,3327,0.432822362488729,359,1178,0.304753820033956,727,910,0.798901098901099,1802,1065,330,176,599,852,3966,MIL,73,3160,6638,0.48,1007,2840,0.35,1336,1800,0.74,691,3083,3774,1889,526,429,1102,1431,8663,43.3,90.9,0.48,13.8,38.9,0.35,18.3,24.7,0.74,9.5,42.2,51.7,25.9,7.2,5.9,15.1,19.6,118.7,771,3125,6560,0.476371951219512,991,2792,0.354942693409742,1328,1790,0.741899441340782,3680,1861,516,416,1056,1383,8569
BOS,BOS,BRO,2908,6498,0.45,941,2746,0.34,1291,1732,0.75,766,2683,3449,1761,464,323,1099,1510,8048,40.4,90.3,0.45,13.1,38.1,0.34,17.9,24.1,0.75,10.6,37.3,47.9,24.5,6.4,4.5,15.3,21.0,111.8,132,2623,5997,0.43738535934634,906,2648,0.34214501510574,1180,1575,0.749206349206349,2797,1571,429,263,941,1340,7332,BOS,72,2971,6448,0.46,905,2487,0.36,1336,1668,0.8,768,2549,3317,1655,595,406,995,1553,8183,41.3,89.6,0.46,12.6,34.5,0.36,18.6,23.2,0.8,10.7,35.4,46.1,23.0,8.3,5.6,13.8,21.6,113.7,124,2896,6346,0.456350456980775,905,2487,0.36389223964616,1313,1631,0.805027590435316,3174,1627,572,367,923,1495,8010
HOU,NOP,DAL,3124,6772,0.46,1136,3095,0.37,1392,1787,0.78,791,2729,3520,1849,460,363,953,1462,8776,41.7,90.3,0.46,15.1,41.3,0.37,18.6,23.8,0.78,10.5,36.4,46.9,24.7,6.1,4.8,12.7,19.5,117.0,313,3054,6632,0.460494571773221,1120,3054,0.366732154551408,1373,1762,0.779228149829739,3413,1805,445,348,886,1412,8601,LAL,71,3006,6269,0.48,782,2242,0.35,1260,1728,0.73,757,2490,3247,1803,612,468,1077,1471,8054,42.3,88.3,0.48,11.0,31.6,0.35,17.7,24.3,0.73,10.7,35.1,45.7,25.4,8.6,6.6,15.2,20.7,113.4,662,2879,5959,0.483134754153381,722,2061,0.350315380883066,1230,1688,0.72867298578199,3134,1761,595,455,1012,1394,7710
DEN,LAC,LAC,2992,6425,0.47,895,2410,0.37,1498,1894,0.79,767,2664,3431,1708,511,338,1051,1594,8377,41.6,89.2,0.47,12.4,33.5,0.37,20.8,26.3,0.79,10.7,37.0,47.7,23.7,7.1,4.7,14.6,22.1,116.3,607,2681,5726,0.468215158924205,788,2102,0.37488106565176,1413,1773,0.796954314720812,3011,1504,426,282,865,1301,7563,DEN,73,3069,6488,0.47,801,2234,0.36,1185,1526,0.78,786,2436,3222,1952,586,337,1005,1485,8124,42.0,88.9,0.47,11.0,30.6,0.36,16.2,20.9,0.78,10.8,33.4,44.1,26.7,8.0,4.6,13.8,20.3,111.3,360,2878,6000,0.479666666666667,716,1979,0.361798888327438,1121,1443,0.776853776853777,3002,1871,538,320,883,1379,7593
